EventID,TeamID,RatingTotal,Rank
1040,4608,1.576,0
1040,4791,0.772,0
1040,4863,1.332,0
1040,5378,0.583,0
1040,6137,1.33733,0
1040,6676,1.287,0
1040,6729,0.891,0
1040,6947,0.844,0
1040,7214,1.386,0
1040,7215,0.712,0
1040,7890,0.804,0
1040,7891,1.394,0
1040,8141,1.098,0
1040,8142,0.974,0
1635,6425,1.252,0
1635,6973,1,0
1635,6985,1.04733,0
1635,7088,1.05867,0
1690,4501,1.0375,0
1690,4559,1.1525,0
1690,4602,1.0485,0
1690,5272,0.886,0
1690,6222,1.032,0
1690,6343,1.034,0
1690,6407,1.17488,0
1690,6491,0.739,0
1690,6686,1.20975,0
1690,6807,0.656,0
1690,6896,0.987,0
1690,6923,1.21,0
1690,6946,1.035,0
1690,6964,0.623,0
1690,7020,1.17935,0
1690,7061,0.846,0
1690,7074,0.958,0
1690,7076,0.656,0
1954,5752,1.09787,0
1954,5973,1.12933,0
1954,5974,0.8244,0
1954,6118,1.04343,0
1954,6290,1.326,0
1954,6301,0.7885,0
1954,6673,0.88733,0
1954,6736,0.92333,0
1959,4494,1.2345,0
1959,4501,1.073,0
1959,5195,0.685,0
1959,5214,1.046,0
1959,5395,0.827,0
1959,5988,1.23687,0
1959,5995,0.797,0
1959,6045,1.025,0
1959,6137,0.858,0
1959,6226,0.9565,0
1959,6375,1.1435,0
1970,5284,1.068,0
1970,5991,1.06857,0
1973,6417,0.951,0
1973,6418,1.208,0
1973,6419,0.731,0
1973,6420,1.0955,0
1977,4494,1.22866,0
1977,4608,1.179,0
1977,5378,0.9205,0
1977,5422,1.09075,0
1977,6137,0.873,0
1977,6290,1.15091,0
1977,6665,1.00733,0
1977,6667,0.8985,0
1978,4608,1.08778,0
1978,4991,1.17959,0
1978,5991,1.13375,0
1978,5995,0.89655,0
1978,6290,1.16667,0
1978,6503,0.89216,0
1978,6548,0.98581,0
1978,6637,0.82666,0
1979,4863,1.2935,0
1979,6109,0.90667,0
1979,6248,1.0264,0
